Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
cottraux2008_PCL_AvsB_52_Comp,Psychotherapy,PTSD,60,Self report,PCL,PCL,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,Assessment at ≥12 Months,52,Completer,,,,,,,p=0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p>0.99 (Fisher's exact test),,Community,,,1,0.7619,,0.2381,Mixed,"rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (not specified)",Medium,"Cottraux J, Note I, Yao S-N, et al. Randomized controlled comparison of cognitive behavior therapy with Rogerian supportive therapy in chronic post-traumatic stress disorder: a 2-year follow-up. Psychother Psychosom. 2008 Jan;77(2):101-10. doi: 10.1159/000112887. PMID: 18230943.",30573,2019
davidson1990_IES_AvsB_0_Comp,Pharmacotherapy,PTSD,46,Self report,IES,IES,,A vs B,Amitriptyline vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,Combat-related,,High,"Davidson J, Kudler H, Smith R, et al. Treatment of posttraumatic stress disorder with amitriptyline and placebo. Arch Gen Psychiatry. 1990 Mar;47(3):259-66. PMID: 2407208.",00912,2019
davidson1990_IES_AvsB_0_I,Pharmacotherapy,PTSD,46,Self report,IES,IES,,A vs B,Amitriptyline vs Placebo,End of Treatment,0,Efficacy/ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,Combat-related,,High,"Davidson J, Kudler H, Smith R, et al. Treatment of posttraumatic stress disorder with amitriptyline and placebo. Arch Gen Psychiatry. 1990 Mar;47(3):259-66. PMID: 2407208.",00912,2019
davidson1990_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,46,Self report,PCL,PCL,Baseline score,A vs B,Amitriptyline vs Placebo,End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,Combat-related,,High,"Davidson J, Kudler H, Smith R, et al. Treatment of posttraumatic stress disorder with amitriptyline and placebo. Arch Gen Psychiatry. 1990 Mar;47(3):259-66. PMID: 2407208.",00912,2019
davidson1990_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,46,Self report,PCL,PCL,Baseline score,A vs B,Amitriptyline vs Placebo,End of Treatment,0,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,,,,,,p=NS,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,,,,Combat-related,,High,"Davidson J, Kudler H, Smith R, et al. Treatment of posttraumatic stress disorder with amitriptyline and placebo. Arch Gen Psychiatry. 1990 Mar;47(3):259-66. PMID: 2407208.",00912,2019
davidson2001_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,208,Self report,DTS,DTS,,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,ANCOVA,,,,,,p=0.002,Mixed-effects model,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7788,,0.2212,Mixed,"accidents, rape/sexual assault, combat-related, natural or manmade disasters, community/school violence, other (""seeing someone hurt or die"", ""other event"")",Medium,"Davidson JR, Rothbaum BO, van der Kolk BA, et al. Multicenter, double-blind comparison of sertraline and placebo in the treatment of posttraumatic stress disorder. Arch Gen Psychiatry. 2001 May;58(5):485-92. PMID: 11343529.",23358,2019
davidson2001_IES_AvsB_0_ITT,Pharmacotherapy,PTSD,208,Self report,IES,IES,,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,ANCOVA,,,,,,p=0.02,Mixed-effects model,,,,,,p=0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7788,,0.2212,Mixed,"accidents, rape/sexual assault, combat-related, natural or manmade disasters, community/school violence, other (""seeing someone hurt or die"", ""other event"")",Medium,"Davidson JR, Rothbaum BO, van der Kolk BA, et al. Multicenter, double-blind comparison of sertraline and placebo in the treatment of posttraumatic stress disorder. Arch Gen Psychiatry. 2001 May;58(5):485-92. PMID: 11343529.",23358,2019
davidson2001_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,208,Self report,PCL,PCL,ANCOVA: site and baseline scores,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,ANCOVA,,,,,p=0.04,Mixed-effects model,,,,,,p=0.003,,,,,,,,,,,,,,,,,,Mixed-effect model,,,,,,p=0.004,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.7788,,0.2212,Mixed,"accidents, rape/sexual assault, combat-related, natural or manmade disasters, community/school violence, other (""seeing someone hurt or die"", ""other event"")",Medium,"Davidson JR, Rothbaum BO, van der Kolk BA, et al. Multicenter, double-blind comparison of sertraline and placebo in the treatment of posttraumatic stress disorder. Arch Gen Psychiatry. 2001 May;58(5):485-92. PMID: 11343529.",23358,2019
davidson2003_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,29,Self report,DTS,DTS,,A vs B,Mirtazapine vs Placebo,End of Treatment,0,ITT,Endpoint difference,Cohen's d,0.42,,,,p=0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,65.00% of 8-week completers,,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",Medium,"Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.",25290,2019
davidson2003_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,29,Self report,PCL,PCL,Baseline values,A vs B,Mirtazapine vs Placebo,End of Treatment,0,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.02,,Community,,,1,,65.00% of 8-week completers,,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",Medium,"Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.",25290,2019
davidson2003_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,29,Self report,PCL,PCL,,A vs B,Mirtazapine vs Placebo,End of Treatment,0,ITT,,Cohen's d,1.06,,,,p=0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p<0.05,,Community,,,1,,65.00% of 8-week completers,,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",Medium,"Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.",25290,2019
davidson2003_SPRINT_AvsB_0_ITT,Pharmacotherapy,PTSD,29,Self report,SPRINT,SPRINT,,A vs B,Mirtazapine vs Placebo,End of Treatment,0,ITT,Endpoint difference,Cohen's d,0.49,,,,p=0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,65.00% of 8-week completers,,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",Medium,"Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.",25290,2019
davidson2006a_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,329,Self report,PCL,PCL,Pretreatment scores,A vs B,Venlafaxine vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.04,,Community,,,1,0.541,,0.459,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)",Medium,"Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.",28838,2019
davidson2006a_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,329,Self report,PCL,PCL,Pretreatment scores,A vs B,Venlafaxine vs Placebo,End of Treatment,0,ITT,,Cohen's d,0.31,,,,p=0.006,,,,,,,,,-8.9,,,,,,,,,,,,,,,,,NNT,8,,,,p=0.01,,Community,,,1,0.541,,0.459,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)",Medium,"Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.",28838,2019
davidson2006b_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,538,Self report,DTS,DTS,,A vs B,Venlafaxine vs Sertraline,End of Treatment,0,ITT,Endpoint difference; adjusted for baseline,ANCOVA effect size,0.127,,,,p=0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2006b_DTS_AvsC_0_ITT,Pharmacotherapy,PTSD,538,Self report,DTS,DTS,,A vs C,Venlafaxine vs Placebo,End of Treatment,0,ITT,Endpoint difference; adjusted for baseline,ANCOVA effect size,0.267,,,,p=0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2006b_DTS_BvsC_0_ITT,Pharmacotherapy,PTSD,538,Self report,DTS,DTS,,B vs C,Sertraline vs Placebo,End of Treatment,0,ITT,Endpoint difference; adjusted for baseline,ANCOVA effect size,0.14,,,,p=0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2006b_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,538,Self report,PCL,PCL,Baseline scores,A vs B,Venlafaxine vs Sertraline,End of Treatment,0,ITT,Endpoint difference adjusted for baseline,ANCOVA effect size,0.075,,,,p=0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2006b_PCL_AvsC_0_ITT,Pharmacotherapy,PTSD,538,Self report,PCL,PCL,Baseline scores,A vs C,Venlafaxine vs Placebo,End of Treatment,0,ITT,Endpoint difference adjusted for baseline,ANCOVA effect size,0.266,,,,p=0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p<0.05,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2006b_PCL_BvsC_0_ITT,Pharmacotherapy,PTSD,538,Self report,PCL,PCL,Baseline scores,B vs C,Sertraline vs Placebo,End of Treatment,0,ITT,Endpoint difference adjusted for baseline,ANCOVA effect size,0.191,,,,p=0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,Community,,,1,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",Medium,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2007_DTS_AvsB_0_Comp,Pharmacotherapy,PTSD,232,Self report,DTS,DTS,,A vs B,Tiagabine vs Placebo,End of Treatment,0,Completer,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.66,,0.34,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)",Medium,"Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.",,2019
davidson2007_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,232,Self report,PCL,PCL,Baseline values,A vs B,Tiagabine vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.88,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.66,,0.34,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)",Medium,"Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.",29658,2019
davidson2007_TOP-8_AvsB_0_Comp,Pharmacotherapy,PTSD,232,Structured Clinical Interview,TOP-8,TOP-8,,A vs B,Tiagabine vs Placebo,End of Treatment,0,Completer,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.66,,0.34,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)",Medium,"Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.",,2019
davis2004_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,42,Self report,PCL,PCL,,A vs B,Nefazodone vs Placebo,End of Treatment,0,ITT,Mean change from baseline,,,,,,p=0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0,0.9762,0.0238,0.0238,,0.9762,Mixed,"combat-related, rape/sexual assault",High,"Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.",26401,2019
davis2004_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,42,Self report,PCL,PCL,,A vs B,Nefazodone vs Placebo,End of Treatment,0,ITT,Mean change from baseline,effect size,0.6,,,,p=0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=NS,,Mixed,0,0.9762,0.0238,0.0238,,0.9762,Mixed,"combat-related, rape/sexual assault",High,"Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.",26401,2019
davis2008a_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,36,Self report,DTS,DTS,,A vs B,Guanfacine vs Placebo,End of Treatment,0,ITT,,Cohen's d,0.04,,,,p=0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008a_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,36,Self report,PCL,PCL,Pretreatment scores,A vs B,Guanfacine vs Placebo,End of Treatment,0,ITT,Endpoint difference,Cohen's d,-0.09,,,,p=0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008b_DTS_AvsB_0_Comp,Pharmacotherapy,PTSD,85,Self report,DTS,DTS,,A vs B,Divalproex vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,85,Self report,DTS,DTS,,A vs B,Divalproex vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,85,Self report,PCL,PCL,,A vs B,Divalproex vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p>0.30,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD,85,Self report,PCL,PCL,,A vs B,Divalproex vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p>0.45,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_AvsB_0_Comp,Pharmacotherapy,PTSD,85,Structured Clinical Interview,TOP-8,TOP-8,,A vs B,Divalproex vs Placebo,End of Treatment,0,Completer,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_AvsB_0_ITT,Pharmacotherapy,PTSD,85,Structured Clinical Interview,TOP-8,TOP-8,,A vs B,Divalproex vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2018b_CAPS_AvsB_0_mI,Pharmacotherapy,PTSD,214,Structured Clinical Interview,CAPS,CAPS-IV,VA research site,A vs B,Mindfulness-based stress reduction (MBSR) vs Present Centered Therapy (PCT),End of Treatment,0,Modified ITT,,,,,,,p=0.58,,,,,,,,,,,,,,,,,,,NNT,30,,,,p=0.662,,NNT,12,,,,p=0.293,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_AvsB_0_mI,Pharmacotherapy,PTSD,214,Self report,PCL,PCL,,A vs B,Mindfulness-based stress reduction (MBSR) vs Present Centered Therapy (PCT),End of Treatment,0,Modified ITT,,,,,,,p=0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2020_CAPS_AvsB_0_Comp,Pharmacotherapy,PTSD,212,Structured Clinical Interview,CAPS,CAPS-5,Gender and veteran status,A vs B,Yoga vs Wellness lifestyle program,End of Treatment,0,Completer,,Cohen's d,0.43,,,,p=0.002,,,,,,,,,-5,,-8.2,-1.8,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_AvsB_30.3_Comp,Pharmacotherapy,PTSD,212,Structured Clinical Interview,CAPS,CAPS-5,Gender and veteran status,A vs B,Yoga vs Wellness lifestyle program,Assessment at 6 to <12 Months,30.3,Completer,,,,,,,p=0.683,,,,,,,,,-0.7,,-4.3,2.8,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_AvsB_0_Comp,Pharmacotherapy,PTSD,212,Self report,PCL,PCL-5,,A vs B,Yoga vs Wellness lifestyle program,End of Treatment,0,Completer,,Cohen's d,0.41,,,,p=0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_AvsB_30.3_Comp,Pharmacotherapy,PTSD,212,Self report,PCL,PCL-5,,A vs B,Yoga vs Wellness lifestyle program,Assessment at 6 to <12 Months,30.3,Completer,,,,,,,p=0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
